nuExp,nuBot,nuCur,T1,T2,LogLik,theta
0.023961340175260214,0.015280150201923921,0.13120641514424483,0.03247820377600416,0.6283270916027889,-56814.445669752866,5311889.186257673
8.70761062217024,0.033464570586446606,0.3321782810848362,0.28550190296254646,1.6978039815826234,-56814.455701984945,2098164.0060663125
4.215626319698254,0.027486629082644615,0.13551224051616154,0.010049404232165753,0.491037413110446,-56846.608874991056,5126400.737581402
1.6000337022056683,0.07834823023914032,0.5063907836313712,0.287037515267554,2.1140156266311907,-56814.62405841566,1375503.201268024
1.2604967382082068,0.24854018228091754,0.9783577724377822,1.6110476519897816,5.024107846583821,-59538.47028803344,671301.6190559082
0.46204006239746265,0.7575891102821777,0.9742148359549359,3.020007952396624,0.7157429014727955,-56147.09175695933,726464.6980643837
3.267796180497803,0.04708083443176246,0.2689362660347901,1.1273222127466482,1.0584665979871903,-56820.02482969743,2586502.530395559
1.906376821375396,3.1406126561672907,1.221138508186416,0.010802585068792623,0.26080642664047754,-45288.65711233951,462170.10235554504
1.291815888198517,0.03945144358858325,0.19576170037402363,0.019989966288192995,0.7158828957967885,-56838.40366087257,3547243.0096905176
0.013925916722220846,0.16727943396210088,0.20723344502836086,0.10651532495674666,0.31997317037904044,-54812.443480906586,3250417.9055790063
0.06036264741305979,1.1916258105004442,2.7756916708025563,0.05278520739397892,4.994121169576971,-56761.95955765493,254769.0188353583
1.2557876897923719,9.681477511089636,4.064827833728277,1.7653878710652016,4.022606551858537,-50416.57208294295,150020.82825980155
8.047137406914821,0.03374182898380159,0.1409378725226399,0.05770807616880456,0.4770718639753806,-57011.79300922618,4892602.0992658585
1.9758490007662817,0.15416352844961426,0.6981222938715649,0.41121969661093677,2.3984716010469502,-56833.1664814798,995227.9572418397
